v4_gene_model	category	v4_locus	W22.Zm00004b.1.
Zm00001d001767	expressed.endo	mab10	Zm00004b005872
Zm00001d001769	not.endo		Zm00004b005873
Zm00001d001776	not.endo		Zm00004b005880
Zm00001d001780	expressed.endo		Zm00004b005883
Zm00001d001785	expressed.endo		Zm00004b005886
Zm00001d001787	expressed.endo		Zm00004b005888
Zm00001d001788	expressed.endo		Zm00004b005889
Zm00001d001789	expressed.endo	umc2246	Zm00004b005890
Zm00001d001790	expressed.endo	atg4a	Zm00004b005891
Zm00001d001791	not.endo	umc1419	Zm00004b005892
Zm00001d001798	expressed.endo	mis12b	Zm00004b005895
Zm00001d001799	expressed.endo		Zm00004b005896
Zm00001d001803	expressed.endo	pco137413a	Zm00004b005898
Zm00001d001806	expressed.endo		Zm00004b005900
Zm00001d001807	expressed.endo	AY110535	Zm00004b005901
Zm00001d001808	expressed.endo		Zm00004b005903
Zm00001d001809	expressed.endo		Zm00004b005904
Zm00001d001811	expressed.endo		Zm00004b005905
Zm00001d001814	expressed.endo		Zm00004b005909
Zm00001d001819	expressed.endo		Zm00004b005913
Zm00001d001826	not.endo		Zm00004b005918
Zm00001d001828	expressed.endo		Zm00004b005919
Zm00001d001830	expressed.endo		Zm00004b005921
Zm00001d001831	expressed.endo		Zm00004b005922
Zm00001d001832	not.endo		Zm00004b005923
Zm00001d001834	expressed.endo		Zm00004b005925
Zm00001d001837	expressed.endo	myb133	Zm00004b005928
Zm00001d001838	expressed.endo	abi3	Zm00004b005929
Zm00001d001839	not.endo		Zm00004b005930
Zm00001d001841	expressed.endo		Zm00004b005931
Zm00001d001843	expressed.endo		Zm00004b005933
Zm00001d001844	expressed.endo		Zm00004b005934
Zm00001d001845	expressed.endo		Zm00004b005935
Zm00001d001846	expressed.endo		Zm00004b005936
Zm00001d001847	expressed.endo		Zm00004b005938
Zm00001d001848	expressed.endo		Zm00004b005939
Zm00001d001849	not.endo		Zm00004b005940
Zm00001d001852	expressed.endo	umc2186	Zm00004b005944
Zm00001d001855	expressed.endo		Zm00004b005946
Zm00001d001859	expressed.endo		Zm00004b005952
Zm00001d001860	expressed.endo		Zm00004b005953
Zm00001d001861	expressed.endo		Zm00004b005954
Zm00001d001862	expressed.endo		Zm00004b005955
Zm00001d001864	expressed.endo	udg1	Zm00004b005957
Zm00001d001866	expressed.endo		Zm00004b005958
Zm00001d001869	expressed.endo		Zm00004b005960
Zm00001d001870	expressed.endo		Zm00004b005961
Zm00001d001877	expressed.endo		Zm00004b005963
Zm00001d001879	expressed.endo	arftf3	Zm00004b005964
Zm00001d001880	expressed.endo		Zm00004b005965
Zm00001d001881	expressed.endo		Zm00004b005966
Zm00001d001882	expressed.endo		Zm00004b005967
Zm00001d001883	expressed.endo		Zm00004b005968
Zm00001d001884	expressed.endo		Zm00004b005969
Zm00001d001894	expressed.endo	thx35	Zm00004b005973
Zm00001d001895	expressed.endo		Zm00004b005974
Zm00001d001896	expressed.endo	cl25041_1a	Zm00004b005975
Zm00001d001897	expressed.endo		Zm00004b005977
Zm00001d001898	expressed.endo	cl11096_1	Zm00004b005978
Zm00001d001899	expressed.endo	arpp2a-3	Zm00004b005979
Zm00001d001900	expressed.endo		Zm00004b005980
Zm00001d001901	expressed.endo		Zm00004b005982
Zm00001d001908	expressed.endo		Zm00004b005985
Zm00001d001913	expressed.endo	uce4	Zm00004b005988
Zm00001d001914	expressed.endo		Zm00004b005989
Zm00001d001915	expressed.endo	phi96100	Zm00004b005990
Zm00001d001916	not.endo		Zm00004b005991
Zm00001d001923	expressed.endo		Zm00004b005995
Zm00001d001928	expressed.endo	kcbp1	Zm00004b006001
Zm00001d001929	expressed.endo	pco118092	Zm00004b006002
Zm00001d001931	not.endo	vq12	Zm00004b006003
Zm00001d001932	expressed.endo		Zm00004b006004
